name,time (ms),CARR.AverageLayersDl,DRB.UEThpDl,DRB.UEThpUl,MM.HoExeInterReq,MM.HoExeInterSucc,MM.HoExeIntraReq,MM.HoExeIntraSucc,PEE.AvgPower,PEE.Energy,QosFlow.TotPdcpPduVolumeDl,QosFlow.TotPdcpPduVolumeUl,RRC.ConnEstabAtt.mo-Data,RRC.ConnEstabAtt.mo-VideoCall,RRC.ConnEstabAtt.mo-VoiceCall,RRC.ConnEstabFailCause.NetworkReject,RRC.ConnEstabSucc.mo-Data,RRC.ConnEstabSucc.mo-VideoCall,RRC.ConnEstabSucc.mo-VoiceCall,RRC.ConnMax,RRC.ConnMean,RRU.MaxLayerDlMimo,RRU.PrbAvailDl,RRU.PrbAvailUl,RRU.PrbTotDl,RRU.PrbTotUl,RRU.PrbUsedDl,RRU.PrbUsedUl,Viavi.Cell.AverageBeamsDl,Viavi.Cell.Name,Viavi.Geo.x,Viavi.Geo.y,Viavi.Geo.z,Viavi.GnbDuId,Viavi.NrCgi,Viavi.NrPci,Viavi.PEE.EnergyEfficiency,Viavi.QoS.Score,Viavi.Radio.antennaType,Viavi.Radio.azimuth,Viavi.Radio.power,Viavi.isEnergySaving,_FrameCnt,_Ns3FrameCnt
CellReports,1721118640287,1,0.010834399610757828,0.012959200888872147,0,0,64,63,52.88130569458008,0.09102497439061917,10.834399223327637,12.959200859069824,0,0,0,0,0,0,0,13,5,1,273,273,3,100,9,273,1,S2/N77/C2,197,610,25,2,4240821235048453,5,197.18121337890625,22,1,120,37,0,4174,4175
CellReports,1721118640287,1,0.0438711978495121,0.041655201464891434,0,0,54,54,46.1287841796875,0.07143984527415388,43.87119674682617,41.65520095825195,0,0,0,0,0,0,0,6,5,1,273,273,11,100,30,273,1,S1/N77/C1,-1601,896,25,1,4240821235048449,1,323.26885986328125,88,1,0,37,0,4174,4175
CellReports,1721118640287,1,0.07471120357513428,0.043216802179813385,0,0,34,34,103.52522277832031,0.0909865225257634,74.7112045288086,43.216800689697266,0,0,0,0,0,0,0,11,8,1,273,273,19,100,52,273,1,S2/N77/C1,197,610,25,2,4240821235048452,4,770.0384521484375,94,1,0,37,0,4174,4175
CellReports,1721118640287,1,0.00996480043977499,0.04344639927148819,0,0,27,27,42.75252151489258,0.05904240133456107,9.964800834655762,43.4463996887207,0,0,2,0,0,0,2,5,1,1,273,273,2,100,7,273,1,S1/N77/C3,-1601,896,25,1,4240821235048451,3,233.08099365234375,100,1,240,37,0,4174,4175
CellReports,1721118640287,1,0.023875201120972633,0.022829599678516388,0,0,69,67,86.6439208984375,0.09684246018812803,23.875200271606445,22.829599380493164,0,0,4,0,0,0,4,10,6,1,273,273,13,100,35,273,1,S1/N77/C2,-1601,896,25,1,4240821235048450,2,384.13775634765625,46,1,120,37,0,4174,4175
CellReports,1721118640287,1,0.03664959967136383,0.03518799692392349,0,0,65,64,59.63383102416992,0.06620945380346052,36.649600982666016,35.18799591064453,0,0,0,0,0,0,0,8,7,1,273,273,10,100,29,273,1,S2/N77/C3,197,610,25,2,4240821235048454,6,414.36883544921875,56,1,240,37,0,4174,4175
CellReports,1721118640287,0,0,0,0,0,27,27,36,0.0611938300657383,0,0,0,0,8,0,0,0,8,8,0,0,273,273,0,0,0,0,1,S3/N77/C2,-152,-673,25,3,4240821235048456,8,0,,1,120,37,0,4174,4175
CellReports,1721118640287,1,0.01595200039446354,0.03948640078306198,0,0,30,30,46.1287841796875,0.05211637640878168,15.952000617980957,39.48640060424805,0,0,0,0,0,0,0,5,2,1,273,273,4,100,12,273,1,S3/N77/C1,-152,-673,25,3,4240821235048455,7,282.8775939941406,80,1,0,37,0,4174,4175
CellReports,1721118640287,1,0.01047040056437254,0.03747200220823288,0,0,29,29,46.1287841796875,0.05748463188273762,10.4704008102417,37.47200393676758,0,0,0,0,0,0,0,5,2,1,273,273,2,100,7,273,1,S4/N77/C1,1571,-653,25,4,4240821235048458,10,260.3840637207031,5,1,0,37,0,4174,4175
CellReports,1721118640287,1,0.01366719976067543,0.027403999119997025,0,0,30,30,49.50504684448242,0.06851750354514484,13.667200088500977,27.40399932861328,0,0,0,0,0,0,0,6,3,1,273,273,4,100,12,273,1,S4/N77/C2,1571,-653,25,4,4240821235048459,11,216.33351135253906,46,1,120,37,0,4174,4175
CellReports,1721118640287,1,0.025149598717689514,0.030592799186706543,0,0,63,63,69.76261138916016,0.07267686990206212,25.149599075317383,30.59280014038086,0,0,12,0,0,0,12,9,6,1,273,273,11,100,30,273,1,S4/N77/C3,1571,-653,25,4,4240821235048460,12,496.4034729003906,46,1,240,37,0,4174,4175
CellReports,1721118639274,1,0.010709600523114204,0.0267815999686718,0,0,30,30,56.257568359375,0.06850375214369553,10.709600448608398,26.781599044799805,0,0,0,0,0,0,0,6,3,1,273,273,4,100,12,273,1,S4/N77/C2,1571,-653,25,4,4240821235048459,11,290.947509765625,37,1,120,37,0,4173,4174
CellReports,1721118639274,1,0.03463040292263031,0.029548000544309616,0,0,63,63,63.01008987426758,0.07265749139843886,34.630401611328125,29.54800033569336,0,0,12,0,0,0,12,9,6,1,273,273,10,100,28,273,1,S4/N77/C3,1571,-653,25,4,4240821235048460,12,316.8889465332031,44,1,240,37,0,4173,4174
CellReports,1721118639274,1,0.0247104000300169,0.03585439920425415,0,0,64,64,79.89139556884766,0.06619288885092424,24.710399627685547,35.854400634765625,0,0,0,0,0,0,0,8,7,1,273,273,7,100,19,273,1,S2/N77/C3,197,610,25,2,4240821235048454,6,578.3851318359375,42,1,240,37,0,4173,4174
CellReports,1721118639274,1,0.014911999925971031,0.04080880060791969,0,0,54,54,76.51513671875,0.0714270317230669,14.911999702453613,40.808799743652344,0,0,0,0,0,0,0,6,5,1,273,273,3,100,10,273,1,S1/N77/C1,-1601,896,25,1,4240821235048449,1,619.0880126953125,30,1,0,37,0,4173,4174
