name,time (ms),CARR.AverageLayersDl,DRB.UEThpDl,DRB.UEThpUl,MM.HoExeInterReq,MM.HoExeInterSucc,MM.HoExeIntraReq,MM.HoExeIntraSucc,PEE.AvgPower,PEE.Energy,QosFlow.TotPdcpPduVolumeDl,QosFlow.TotPdcpPduVolumeUl,RRC.ConnEstabAtt.mo-Data,RRC.ConnEstabAtt.mo-VideoCall,RRC.ConnEstabAtt.mo-VoiceCall,RRC.ConnEstabFailCause.NetworkReject,RRC.ConnEstabSucc.mo-Data,RRC.ConnEstabSucc.mo-VideoCall,RRC.ConnEstabSucc.mo-VoiceCall,RRC.ConnMax,RRC.ConnMean,RRU.MaxLayerDlMimo,RRU.PrbAvailDl,RRU.PrbAvailUl,RRU.PrbTotDl,RRU.PrbTotUl,RRU.PrbUsedDl,RRU.PrbUsedUl,Viavi.Cell.AverageBeamsDl,Viavi.Cell.Name,Viavi.Geo.x,Viavi.Geo.y,Viavi.Geo.z,Viavi.GnbDuId,Viavi.NrCgi,Viavi.NrPci,Viavi.PEE.EnergyEfficiency,Viavi.QoS.Score,Viavi.Radio.antennaType,Viavi.Radio.azimuth,Viavi.Radio.power,Viavi.isEnergySaving,_FrameCnt,_Ns3FrameCnt
CellReports,1721196525614,1,0.025710398331284523,0.039608001708984375,0,0,16,16,59.63383102416992,0.016479042714909194,25.710397720336914,39.608001708984375,0,0,0,0,0,0,0,9,4,1,273,273,7,100,19,273,1,S4/N77/C2,-1015,-80,25,4,4240821235048459,11,432.4793395996094,76,1,120,37,0,984,985
CellReports,1721196525614,1,0.00920720025897026,0.0327007994055748,0,0,16,16,42.75252151489258,0.012659178189153488,9.207200050354004,32.70079803466797,0,0,0,0,0,0,0,4,1,1,273,273,3,100,9,273,1,S4/N77/C1,-1015,-80,25,4,4240821235048458,10,229.263671875,92,1,0,37,0,984,985
CellReports,1721196525614,1,0.014977600425481796,0.03890959918498993,0,0,19,19,69.76261138916016,0.01975495403051573,14.97760009765625,38.90959930419922,0,0,0,0,0,0,0,11,5,1,273,273,4,100,12,273,1,S5/N77/C2,1425,-88,25,5,4240821235048462,14,528.5696411132812,30,1,120,37,0,984,985
CellReports,1721196525614,1,0.026762399822473526,0.01944960094988346,0,0,17,17,86.6439208984375,0.02520480248599487,26.762399673461914,19.449600219726562,0,0,0,0,0,0,0,11,6,1,273,273,15,100,42,273,1,S3/N77/C2,1042,1095,25,3,4240821235048456,8,308.9426574707031,56,1,120,37,0,984,985
CellReports,1721196525614,1,0.01992960087954998,0.04344960302114487,0,0,14,14,52.88130569458008,0.014548008818879068,19.929601669311523,43.44960403442383,0,0,0,0,0,0,0,5,2,1,273,273,5,100,14,273,1,S8/N77/C2,753,-1161,25,8,4240821235048471,23,376.87420654296875,100,1,120,37,0,984,985
CellReports,1721196525614,1,0.02967119961977005,0.038068801164627075,0,0,18,18,63.01008987426758,0.015040380259100355,29.671199798583984,38.06880187988281,0,0,0,0,0,0,0,7,6,1,273,273,8,100,24,273,1,S8/N77/C3,753,-1161,25,8,4240821235048472,24,471.23883056640625,61,1,240,37,0,984,985
CellReports,1721196525614,1,0.01992960087954998,0.04344960302114487,0,0,11,11,52.88130569458008,0.01654469224027218,19.929601669311523,43.44960403442383,0,0,0,0,0,0,0,6,2,1,273,273,5,100,14,273,1,S1/N77/C1,-1655,1065,25,1,4240821235048449,1,376.87420654296875,100,1,0,37,0,984,985
CellReports,1721196525614,1,0.03323280066251755,0.04293840005993843,0,0,36,36,79.89139556884766,0.01618268200041409,33.2327995300293,42.93840026855469,0,0,0,0,0,0,0,8,6,1,273,273,8,100,23,273,1,S3/N77/C3,1042,1095,25,3,4240821235048457,9,670.5003051757812,56,1,240,37,0,984,985
CellReports,1721196525614,1,0.029894400388002396,0.04344960302114487,0,0,11,11,59.63383102416992,0.013074645899664186,29.894399642944336,43.44960403442383,0,0,0,0,0,0,0,7,3,1,273,273,7,100,21,273,1,S7/N77/C3,-548,-1209,25,7,4240821235048469,21,501.2993469238281,100,1,240,37,0,984,985
CellReports,1721196525614,0,0,0,0,0,22,22,36,0.016043880146789778,0,0,0,0,0,0,0,0,0,8,0,0,273,273,0,0,0,0,1,S6/N77/C2,-1654,-890,25,6,4240821235048465,17,0,,1,120,37,0,984,985
