name,time (ms),DRB.EstabSucc,DRB.UECqiDl,DRB.UECqiUl,DRB.UEThpDl,DRB.UEThpUl,QF.EstabAttNbr,QF.EstabSuccNbr,QF.RelActNbr,QF.ReleaseAttNbr,RRU.PrbUsedDl,RRU.PrbUsedUl,SM.PDUSessionSetupReq,SM.PDUSessionSetupSucc,TB.TotNbrDl,TB.TotNbrUl,Viavi.CA.cells,Viavi.Cell.Name,Viavi.Cell.beam,Viavi.Geo.x,Viavi.Geo.y,Viavi.Geo.z,Viavi.QoS.5qi,Viavi.QoS.Priority,Viavi.QoS.Score,Viavi.UE.Name,Viavi.UE.RsSinr,Viavi.UE.Rsrp,Viavi.UE.Rsrq,Viavi.UE.Slice,Viavi.UE.anomalies,Viavi.UE.targetThroughputDl,Viavi.mMIMO.Beamforming,Viavi.mMIMO.Group,Viavi.mMIMO.Type,_QF.AbnormDuration,_QF.NormDuration,neighbor,report
UEReports,1721205395029,,15,15,0.00996480043977499,0.021804800257086754,,,,,7,137,,,14980,1620,1,S2/N77/C2,3,484,600,2,1,20,100,Pedestrian-4,42.075347900390625,-80.1534423828125,-10.792081832885742,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
UEReports,1721205395029,,15,15,0.00996480043977499,0.04344639927148819,,,,,7,273,,,15020,1660,1,S1/N77/C2,3,-1100,222,2,1,20,100,Pedestrian-3,32.075347900390625,-90.1534423828125,-10.79450511932373,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
UEReports,1721205395029,,0,0,0.0003583999932743609,0.0009280000231228769,,,,,7,136,,,12119,1666,1,S2/N77/C2,6,1325,288,4,1,20,7,Indoor-2,-12.924651145935059,-135.1534423828125,-23.93247413635254,eMBB,0,0.004999999888241291,Digital,1,CSI-RS,,,,serving
UEReports,1721205395029,,,,0,,,,,,,,,,,,,(idle),,-1066,-931,2,,,,Indoor-1,,,,eMBB,0,0,,,,,,,serving
UEReports,1721205394031,,0,0,0.0003615999885369092,0.0009280000231228769,,,,,7,136,,,12101,1664,1,S2/N77/C2,6,1325,288,4,1,20,7,Indoor-2,-12.924651145935059,-135.1534423828125,-23.93247413635254,eMBB,0,0.004999999888241291,Digital,1,CSI-RS,,,,serving
UEReports,1721205394031,,,,0,,,,,,,,,,,,,(idle),,-1066,-931,2,,,,Indoor-1,,,,eMBB,0,0,,,,,,,serving
UEReports,1721205394031,,15,15,0.00996480043977499,0.04344639927148819,,,,,7,273,,,15002,1658,1,S1/N77/C2,3,-1100,225,2,1,20,100,Pedestrian-3,40.075347900390625,-82.1534423828125,-10.79223918914795,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
UEReports,1721205394031,,15,15,0.00996480043977499,0.021804800257086754,,,,,7,137,,,14962,1618,1,S2/N77/C2,3,487,600,2,1,20,100,Pedestrian-4,37.075347900390625,-85.1534423828125,-10.79266357421875,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
UEReports,1721205393029,,15,15,0.00996480043977499,0.04344639927148819,,,,,7,273,,,14984,1656,1,S1/N77/C2,3,-1100,228,2,1,20,100,Pedestrian-3,33.075347900390625,-89.1534423828125,-10.793951034545898,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
UEReports,1721205393029,,15,15,0.00996480043977499,0.021804800257086754,,,,,7,137,,,14944,1616,1,S2/N77/C2,3,490,600,2,1,20,100,Pedestrian-4,45.075347900390625,-77.1534423828125,-10.791947364807129,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
UEReports,1721205393029,,,,0,,,,,,,,,,,,,(idle),,-1066,-931,2,,,,Indoor-1,,,,eMBB,0,0,,,,,,,serving
UEReports,1721205393029,,0,0,0.0003583999932743609,0.0009280000231228769,,,,,7,136,,,12083,1662,1,S2/N77/C2,6,1325,288,4,1,20,7,Indoor-2,-12.924651145935059,-135.1534423828125,-23.93247413635254,eMBB,0,0.004999999888241291,Digital,1,CSI-RS,,,,serving
UEReports,1721205392029,,,,0,,,,,,,,,,,,,(idle),,-1066,-931,2,,,,Indoor-1,,,,eMBB,0,0,,,,,,,serving
UEReports,1721205392029,,0,0,0.0003615999885369092,0.0009280000231228769,,,,,7,136,,,12065,1660,1,S2/N77/C2,6,1325,288,4,1,20,7,Indoor-2,-12.924651145935059,-135.1534423828125,-23.93247413635254,eMBB,0,0.004999999888241291,Digital,1,CSI-RS,,,,serving
UEReports,1721205392029,,15,15,0.00996480043977499,0.021804800257086754,,,,,7,137,,,14926,1614,1,S2/N77/C2,3,493,600,2,1,20,100,Pedestrian-4,35.075347900390625,-87.1534423828125,-10.79316234588623,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
UEReports,1721205392029,,15,15,0.00996480043977499,0.04344639927148819,,,,,7,273,,,14966,1654,1,S1/N77/C2,3,-1100,231,2,1,20,100,Pedestrian-3,37.075347900390625,-85.1534423828125,-10.79266357421875,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
UEReports,1721205391029,,15,15,0.00996480043977499,0.021804800257086754,,,,,7,137,,,14908,1612,1,S2/N77/C2,3,496,600,2,1,20,100,Pedestrian-4,41.075347900390625,-81.1534423828125,-10.79215145111084,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
UEReports,1721205391029,,15,15,0.00996480043977499,0.04344639927148819,,,,,7,273,,,14948,1652,1,S1/N77/C2,3,-1100,234,2,1,20,100,Pedestrian-3,37.075347900390625,-85.1534423828125,-10.79266357421875,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
UEReports,1721205391029,,0,0,0.0003583999932743609,0.0009280000231228769,,,,,7,136,,,12047,1658,1,S2/N77/C2,6,1325,288,4,1,20,7,Indoor-2,-12.924651145935059,-135.1534423828125,-23.93247413635254,eMBB,0,0.004999999888241291,Digital,1,CSI-RS,,,,serving
UEReports,1721205391029,,,,0,,,,,,,,,,,,,(idle),,-1066,-931,2,,,,Indoor-1,,,,eMBB,0,0,,,,,,,serving
UEReports,1721205390029,,0,0,0.0003583999932743609,0.0009280000231228769,,,,,7,136,,,12029,1656,1,S2/N77/C2,6,1325,288,4,1,20,7,Indoor-2,-12.924651145935059,-135.1534423828125,-23.93247413635254,eMBB,0,0.004999999888241291,Digital,1,CSI-RS,,,,serving
UEReports,1721205390029,,,,0,,,,,,,,,,,,,(idle),,-1066,-931,2,,,,Indoor-1,,,,eMBB,0,0,,,,,,,serving
UEReports,1721205390029,,15,15,0.00996480043977499,0.04344639927148819,,,,,7,273,,,14930,1650,1,S1/N77/C2,3,-1100,237,2,1,20,100,Pedestrian-3,40.075347900390625,-82.1534423828125,-10.79223918914795,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
UEReports,1721205390029,,15,15,0.00996480043977499,0.021804800257086754,,,,,7,137,,,14890,1610,1,S2/N77/C2,3,500,600,2,1,20,100,Pedestrian-4,36.075347900390625,-86.1534423828125,-10.792884826660156,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
UEReports,1721205389031,,15,15,0.00996480043977499,0.04344639927148819,,,,,7,273,,,14912,1648,1,S1/N77/C2,3,-1100,240,2,1,20,100,Pedestrian-3,43.075347900390625,-79.1534423828125,-10.79202651977539,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
UEReports,1721205389031,,15,15,0.00996480043977499,0.021804800257086754,,,,,7,137,,,14872,1608,1,S2/N77/C2,3,496,600,2,1,20,100,Pedestrian-4,41.075347900390625,-81.1534423828125,-10.79215145111084,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
UEReports,1721205389031,,,,0,,,,,,,,,,,,,(idle),,-1066,-931,2,,,,Indoor-1,,,,eMBB,0,0,,,,,,,serving
UEReports,1721205389031,,0,0,0.0003615999885369092,0.0009280000231228769,,,,,7,136,,,12011,1654,1,S2/N77/C2,6,1325,288,4,1,20,7,Indoor-2,-12.924651145935059,-135.1534423828125,-23.93247413635254,eMBB,0,0.004999999888241291,Digital,1,CSI-RS,,,,serving
UEReports,1721205388029,,,,0,,,,,,,,,,,,,(idle),,-1066,-931,2,,,,Indoor-1,,,,eMBB,0,0,,,,,,,serving
UEReports,1721205388029,,0,0,0.0003583999932743609,0.0009280000231228769,,,,,7,136,,,11993,1652,1,S2/N77/C2,6,1325,288,4,1,20,7,Indoor-2,-12.924651145935059,-135.1534423828125,-23.93247413635254,eMBB,0,0.004999999888241291,Digital,1,CSI-RS,,,,serving
UEReports,1721205388029,,15,15,0.00996480043977499,0.021804800257086754,,,,,7,137,,,14854,1606,1,S2/N77/C2,3,493,600,2,1,20,100,Pedestrian-4,35.075347900390625,-87.1534423828125,-10.79316234588623,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
UEReports,1721205388029,,15,15,0.00996480043977499,0.04344639927148819,,,,,7,273,,,14894,1646,1,S1/N77/C2,3,-1100,243,2,1,20,100,Pedestrian-3,35.075347900390625,-87.1534423828125,-10.79316234588623,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
UEReports,1721205387029,,15,15,0.00996480043977499,0.021804800257086754,,,,,7,137,,,14836,1604,1,S2/N77/C2,3,490,600,2,1,20,100,Pedestrian-4,45.075347900390625,-77.1534423828125,-10.791947364807129,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
UEReports,1721205387029,,15,15,0.00996480043977499,0.04344639927148819,,,,,7,273,,,14876,1644,1,S1/N77/C2,3,-1100,246,2,1,20,100,Pedestrian-3,38.075347900390625,-84.1534423828125,-10.792489051818848,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
UEReports,1721205387029,,0,0,0.0003583999932743609,0.0009280000231228769,,,,,7,136,,,11975,1650,1,S2/N77/C2,6,1325,288,4,1,20,7,Indoor-2,-12.924651145935059,-135.1534423828125,-23.93247413635254,eMBB,0,0.004999999888241291,Digital,1,CSI-RS,,,,serving
UEReports,1721205387029,,,,0,,,,,,,,,,,,,(idle),,-1066,-931,2,,,,Indoor-1,,,,eMBB,0,0,,,,,,,serving
UEReports,1721205386029,,0,0,0.0003615999885369092,0.0009280000231228769,,,,,7,136,,,11957,1648,1,S2/N77/C2,6,1325,288,4,1,20,7,Indoor-2,-12.924651145935059,-135.1534423828125,-23.93247413635254,eMBB,0,0.004999999888241291,Digital,1,CSI-RS,,,,serving
UEReports,1721205386029,,,,0,,,,,,,,,,,,,(idle),,-1066,-931,2,,,,Indoor-1,,,,eMBB,0,0,,,,,,,serving
UEReports,1721205386029,,15,15,0.00996480043977499,0.04344639927148819,,,,,7,273,,,14858,1642,1,S1/N77/C2,3,-1100,249,2,1,20,100,Pedestrian-3,43.075347900390625,-79.1534423828125,-10.79202651977539,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
UEReports,1721205386029,,15,15,0.00996480043977499,0.021804800257086754,,,,,7,137,,,14818,1602,1,S2/N77/C2,3,487,600,2,1,20,100,Pedestrian-4,37.075347900390625,-85.1534423828125,-10.79266357421875,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
UEReports,1721205385029,,15,15,0.00996480043977499,0.04344639927148819,,,,,7,273,,,14840,1640,1,S1/N77/C2,3,-1100,252,2,1,20,100,Pedestrian-3,32.075347900390625,-90.1534423828125,-10.79450511932373,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
UEReports,1721205385029,,15,15,0.00996480043977499,0.021804800257086754,,,,,7,137,,,14800,1600,1,S2/N77/C2,3,484,600,2,1,20,100,Pedestrian-4,42.075347900390625,-80.1534423828125,-10.792081832885742,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
UEReports,1721205385029,,,,0,,,,,,,,,,,,,(idle),,-1066,-931,2,,,,Indoor-1,,,,eMBB,0,0,,,,,,,serving
UEReports,1721205385029,,0,0,0.0003583999932743609,0.0009280000231228769,,,,,7,136,,,11939,1646,1,S2/N77/C2,6,1325,288,4,1,20,7,Indoor-2,-12.924651145935059,-135.1534423828125,-23.93247413635254,eMBB,0,0.004999999888241291,Digital,1,CSI-RS,,,,serving
UEReports,1721205384029,,,,0,,,,,,,,,,,,,(idle),,-1066,-931,2,,,,Indoor-1,,,,eMBB,0,0,,,,,,,serving
UEReports,1721205384029,,0,0,0.0003583999932743609,0.0009280000231228769,,,,,7,136,,,11921,1644,1,S2/N77/C2,6,1325,288,4,1,20,7,Indoor-2,-12.924651145935059,-135.1534423828125,-23.93247413635254,eMBB,0,0.004999999888241291,Digital,1,CSI-RS,,,,serving
UEReports,1721205384029,,15,15,0.00996480043977499,0.021804800257086754,,,,,7,137,,,14782,1598,1,S2/N77/C2,3,481,600,2,1,20,100,Pedestrian-4,37.075347900390625,-85.1534423828125,-10.79266357421875,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
UEReports,1721205384029,,15,15,0.00996480043977499,0.04344639927148819,,,,,7,273,,,14822,1638,1,S1/N77/C2,3,-1100,255,2,1,20,100,Pedestrian-3,39.075347900390625,-83.1534423828125,-10.792349815368652,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
UEReports,1721205383029,,15,15,0.00996480043977499,0.021804800257086754,,,,,7,137,,,14764,1596,1,S2/N77/C2,3,478,600,2,1,20,100,Pedestrian-4,34.075347900390625,-88.1534423828125,-10.793511390686035,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
UEReports,1721205383029,,15,15,0.00996480043977499,0.04344639927148819,,,,,7,273,,,14804,1636,1,S1/N77/C2,3,-1100,258,2,1,20,100,Pedestrian-3,32.075347900390625,-90.1534423828125,-10.79450511932373,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
UEReports,1721205383029,,0,0,0.0002671999973244965,0.0009280000231228769,,,,,5,136,,,11903,1642,1,S2/N77/C2,6,1325,288,4,1,20,5,Indoor-2,-12.924651145935059,-135.1534423828125,-23.93247413635254,eMBB,0,0.004999999888241291,Digital,1,CSI-RS,,,,serving
UEReports,1721205383029,,,,0,,,,,,,,,,,,,(idle),,-1066,-931,2,,,,Indoor-1,,,,eMBB,0,0,,,,,,,serving
UEReports,1721205382029,,0,0,0,0.0009280000231228769,,,,,0,136,,,11891,1640,1,S2/N77/C2,6,1325,288,4,1,20,0,Indoor-2,-12.924651145935059,-135.1534423828125,-23.93247413635254,eMBB,0,0.004999999888241291,Digital,1,CSI-RS,,,,serving
UEReports,1721205382029,,,,0,,,,,,,,,,,,,(idle),,-1066,-931,2,,,,Indoor-1,,,,eMBB,0,0,,,,,,,serving
UEReports,1721205382029,,15,15,0.00996480043977499,0.04344639927148819,,,,,7,273,,,14786,1634,1,S1/N77/C2,3,-1100,261,2,1,20,100,Pedestrian-3,30.075347900390625,-92.1534423828125,-10.7960786819458,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
